,support,itemsets
0,0.01230377598642342,frozenset({'100% Raw Coconut Water'})
1,0.01845566397963513,frozenset({'100% Whole Wheat Bread'})
2,0.012409843020789138,frozenset({'2% Reduced Fat Milk'})
3,0.026516758591429785,frozenset({'Apple Honeycrisp Organic'})
4,0.019092066185829443,frozenset({'Asparagus'})
5,0.12059821807382265,frozenset({'Bag of Organic Bananas'})
6,0.1491302503182011,frozenset({'Banana'})
7,0.011455239711497667,frozenset({'Bartlett Pears'})
8,0.018031395842172254,frozenset({'Blueberries'})
9,0.016440390326686465,frozenset({'Boneless Skinless Chicken Breasts'})
10,0.011667373780229105,frozenset({'Broccoli Crown'})
11,0.013788714467543487,frozenset({'Bunched Cilantro'})
12,0.02100127280441239,frozenset({'Carrots'})
13,0.011879507848960543,"frozenset({'Clementines, Bag'})"
14,0.02810776410691557,frozenset({'Cucumber Kirby'})
15,0.014955451845566398,frozenset({'Extra Virgin Olive Oil'})
16,0.02110733983877811,frozenset({'Fresh Cauliflower'})
17,0.010076368264743318,frozenset({'Frozen Organic Wild Blueberries'})
18,0.011455239711497667,frozenset({'Garlic'})
19,0.011243105642766229,frozenset({'Granny Smith Apples'})
20,0.015485787017394994,frozenset({'Grated Parmesan'})
21,0.015697921086126432,frozenset({'Green Bell Pepper'})
22,0.020683071701315232,frozenset({'Half & Half'})
23,0.016440390326686465,frozenset({'Hass Avocados'})
24,0.026410691557064065,frozenset({'Honeycrisp Apple'})
25,0.010606703436571913,frozenset({'Italian Sparkling Mineral Water'})
26,0.011137038608400509,frozenset({'Jalapeno Peppers'})
27,0.012621977089520576,frozenset({'Large Alfresco Eggs'})
28,0.04571489181162495,frozenset({'Large Lemon'})
29,0.01591005515485787,frozenset({'Lime Sparkling Water'})
30,0.041047942299533305,frozenset({'Limes'})
31,0.020046669495120916,frozenset({'Michigan Organic Kale'})
32,0.013258379295714893,frozenset({'Orange Bell Pepper'})
33,0.05557912600763683,frozenset({'Organic Avocado'})
34,0.023440814594823927,frozenset({'Organic Baby Arugula'})
35,0.010500636402206194,frozenset({'Organic Baby Broccoli'})
36,0.02301654645736105,frozenset({'Organic Baby Carrots'})
37,0.07276198557488332,frozenset({'Organic Baby Spinach'})
38,0.011773440814594823,frozenset({'Organic Bartlett Pear'})
39,0.011561306745863385,frozenset({'Organic Black Beans'})
40,0.019198133220195163,frozenset({'Organic Blackberries'})
41,0.027577428935086974,frozenset({'Organic Blueberries'})
42,0.011561306745863385,frozenset({'Organic Broccoli'})
